"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
250.43532644499,1.55110779639394,0.214655509137991,7.20969570351518,5.60770496990255e-13,5.56130788711586e-11,"4566","TRNK"
318.751521478646,-1.5066041309352,0.208699424065431,-7.20596927190944,5.76323998027982e-13,5.68173617227468e-11,"7088","TLE1"
361.180250758621,-1.27811284732518,0.177552540271047,-7.18846510248571,6.55237290961592e-13,6.38415702029888e-11,"64857","PLEKHG2"
1281.59274826888,0.908632038628104,0.126381371810443,7.18852830422517,6.54934113241516e-13,6.38415702029888e-11,"414918","DENND6B"
133.477284796093,1.99768324454443,0.283302673652264,7.18541031788948,6.70056462463884e-13,6.49058762855277e-11,"148266","ZNF569"
218.062785655389,-1.4941884958355,0.208118499665865,-7.15830406111915,8.16812279305616e-13,7.86642161012189e-11,"115908","CTHRC1"
22786.1829756512,0.698669289586707,0.0976382136039118,7.15566592177955,8.32677052301228e-13,7.97312205079929e-11,"126308","MOB3A"
2351.45467684522,1.03288943129199,0.144430133926076,7.15083183560744,8.62536042077403e-13,8.21183599831520e-11,"8225","GTPBP6"
842.376852031837,0.913257399382401,0.127697054182411,7.15002691988443,8.67608843807699e-13,8.21319940152277e-11,"340591","CA5BP1"
2413.81568278162,-1.24323444708363,0.173905251978213,-7.14815892328378,8.79494576746096e-13,8.27867748201509e-11,"85439","STON2"
56.3581555389952,-2.38224752580627,0.287615344106789,-7.11850754230688,1.09101967358115e-12,1.02120667311997e-10,"664701","ZNF826P"
4531.72605459188,0.774345699735337,0.108927187499662,7.10862692929356,1.17203081339231e-12,1.0909053285994e-10,"2760","GM2A"
49.1302560813673,1.95547402025267,0.267499516618031,7.09809448838384,1.26488698727945e-12,1.17079344972572e-10,"81544","GDPD5"
1355.92600027361,1.20526373501395,0.170074553973249,7.08526769650353,1.38775778620126e-12,1.27742720861322e-10,"3315","HSPB1"
2056.3580572759,1.15235074500075,0.162766144105764,7.07897203511275,1.4522768519739e-12,1.32265642795632e-10,"150726","FBXO41"
61.2646823325073,3.40089856328685,0.276183719671237,7.0789249124675,1.45277069993402e-12,1.32265642795632e-10,"1030","CDKN2B"
530.57713701993,1.158185626349,0.163543157578406,7.07727408051446,1.47017589053799e-12,1.33122828870943e-10,"105373239","LOC105373239"
1274.89486640438,1.21434305571213,0.171726858550583,7.06981806161829,1.55136961379165e-12,1.39715508839907e-10,"3045","HBD"
7779.63587707254,0.785750597875464,0.111153531184487,7.06893845225804,1.5612336900171e-12,1.39847927469757e-10,"286530","P2RY8"
20689.7109147316,0.674951754836151,0.0958194006621989,7.04396972536466,1.86838756830932e-12,1.66466338372201e-10,"7317","UBA1"
1702.60517714325,0.901765305085942,0.128095239591522,7.03904482889742,1.93562094132687e-12,1.71539257997059e-10,"654817","NCF1C"
289.861192797553,-1.3050382908568,0.185293797791046,-7.03107012378876,2.04955457048797e-12,1.80675284121164e-10,"105379271","LOC105379271"
257.991449588619,-1.83666873439618,0.261797296547096,-7.02853870093211,2.08707738712738e-12,1.83014717615417e-10,"4311","MME"
4230.45458461608,-0.90377670972697,0.129062824879428,-7.00224246390748,2.51897643100276e-12,2.1973123726145e-10,"6692","SPINT1"
1028.07543390551,1.52148455248011,0.21766014458913,6.99081333020249,2.7329719573949e-12,2.37156488448731e-10,"6515","SLC2A3"
526.684682209672,1.23871543531304,0.177217572070448,6.9850003211565,2.84855330021661e-12,2.45905422460668e-10,"92249","LINC01278"
164.866225595848,-1.88684191952929,0.271812626128109,-6.96735080847135,3.22964643112706e-12,2.77366696850557e-10,"283358","B4GALNT3"
